QS_UNIT,UnitCO,Unit,Figure,SI,Sibar,Imperial,MKS,ENG Info,ENG Info short,Lengs,JPN Info,JPN Info short,Lengs,DEU Info,DEU Info short,Lengs,FRA Info,FRA Info short,Lengs,CHN Info,CHN Info short,Lengs,CHN Trad Info,CHN Trad Info short,Lengs,KOR Info,KOR Info short,Lengs,ESP Info,ESP Info short,Lengs,RUS Info,RUS Info short,Lengs,PORT Info,PORT Info short,Lengs,TURKISH Info,TURKISH Info short,Lengs,POL Info,POL Info Short,Lengs,ITAL Info,ITAL Info Short,Lengs,ESP EU Info,ESP EU Info short,Lengs,NHL Info,NHL Info short,Lengs,THAI Info,THAI Info short,Lengs, ,,,FunctionName,To SI Value,From SI Value,,
,0703,km²,3,0,0,0,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_km2,1000000,1/1000000,,
,0704,ha,3,0,0,0,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_ha,10000,1/10000,,
,0705,in²,3,0,0,1,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_in2,1/1550,1550,,
,0706,ft²,3,0,0,1,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_ft2,1/10.76,10.76,,
,0707,yd²,3,0,0,1,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_yd2,1/1.196,1.196,,
,0708,acre,3,0,0,0,0,Area,Area,19,面積,,,Fläche,,,Surface,,,面积,,,面積,,,면적,,,Área,Área,,Площадь,,,Área,,,Alan,,,Powierzchnia,,,Area,,,Área,Área,,Gebied,,,พื้นที่,,,,,,m2_acre,4046.856,1/4046.856,,
,0800,kg,3,1,1,0,1,Weight,Weight,19,重量,,,Gewicht,,,Poids,,,重量,,,重量,,,중량,,,Peso,Peso,,Вес,,,Peso,,,Ağırlık,,,Waga,,,Peso,,,Peso,Peso,,Gewicht,,,น้ำหนัก,,,,,,,1,1,UnitWeight,
,0801,lb,3,0,0,1,0,Weight,Weight,19,重量,,,Gewicht,,,Poids,,,重量,,,重量,,,중량,,,Peso,Peso,,Вес,,,Peso,,,Ağırlık,,,Waga,,,Peso,,,Peso,Peso,,Gewicht,,,น้ำหนัก,,,,,,kg_lb,1/2.205,2.205,,
,0802,t(metric),3,0,0,0,0,Weight,Weight,19,重量,,,Gewicht,,,Poids,,,重量,,,重量,,,중량,,,Peso,Peso,,Вес,,,Peso,,,Ağırlık,,,Waga,,,Peso,,,Peso,Peso,,Gewicht,,,น้ำหนัก,,,,,,kg_t(metric),1000,1/1000,,
,0803,ton(UK),3,0,0,0,0,Weight,Weight,19,重量,,,Gewicht,,,Poids,,,重量,,,重量,,,중량,,,Peso,Peso,,Вес,,,Peso,,,Ağırlık,,,Waga,,,Peso,,,Peso,Peso,,Gewicht,,,น้ำหนัก,,,,,,kg_ton(UK),1016.05,1/1016.05,,
,0804,ton(US),3,0,0,0,0,Weight,Weight,19,重量,,,Gewicht,,,Poids,,,重量,,,重量,,,중량,,,Peso,Peso,,Вес,,,Peso,,,Ağırlık,,,Waga,,,Peso,,,Peso,Peso,,Gewicht,,,น้ำหนัก,,,,,,kg_ton(US),907.185,1/907.185,,
,0900,kPa abs,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,,1,1,UnitPress,
,0901,MPa abs,2,0,0,0,1,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_MPaAbs,1000,1/1000.0,,
,0902,psi abs,1,0,0,1,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_psiAbs,6.895,1/6.895,,
,0903,bar abs,2,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_barAbs,100,1/100,,
,0904,kg/cm² abs,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_kgcm2Abs,98.0665,1/98.0665,,
,0905,mmHg abs,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_mmHgAbs,0.13332,1/0.13332,,
,0906,kPaG,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_kPaG,101.325,-101.325,,
,0907,MPaG,2,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_MPaG,o*1000 +101.325,(o-101.325)*(1/1000.0),,
,0908,psig,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_psiG,o*6.895 +101.325,(o-101.325)*(1/6.895),,
,0909,barG,2,0,1,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_barG,o*100   +101.325,(o-101.325)*(1/100),,
,0910,kg/cm²G,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_kgcm2G,o*98.07 +101.325,(o-101.325)*(1/98.0665),,
,0911,mmHgG,1,0,0,0,0,Pressure,Pressure,19,圧力,,,Druck,,,Pression,,,压力,,,壓力,,,압력,,,Presión,Pres.,,Давление,,,Pressão,,,Basınç,,,Ciśnienie,,,Pressione,,,Presión,Pres.,,Druk,,,ความดัน,,,,,,kPa_mmHgG,o*0.1333+101.325,(o-101.325)*(1/0.13332),,
,1000,kPa,1,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,,1,1,,
,1001,MPa,2,0,1,0,1,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_MPa,1000,1/1000.0,,
,1002,psi,1,0,0,1,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_psi,6.895,1/6.895,,
,1003,bar,2,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_bar,100,1/100,,
,1004,kg/cm²,1,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_kgcm2,98.0665,1/98.0665,,
,1005,mmHg,1,0,0,0,0,Differential Pressure,Differential Press,19,差圧,,,Differenzdruck,,,Pression différentielle,,,压差,,,壓差,,,차압,,,Presión Diferencial,Pres. Dif.,,Дифференциальное давление,,,Pressão diferencial,,,Fark Basıncı,,,Różnica ciśnień,,,Pressione differenziale,,,Presión diferencial,Pres. dif.,,Differentiële druk,,,แรงกดดันที่แตกต่าง,,,,,,kPa_mmHg,0.13332,1/0.13332,,
,1100,W,1,0,0,0,0,Power,Power,19,仕事率,,,Energie,,,Puissance,,,功率,,,功率,,,일율,,,Energía,Energía,,Энергия,,,Força,,,Güç,,,Moc,,,Potenza,,,Energía,Energía,,Vermogen,,,พลังงาน,,,,,,,1,1,UnitPow,
,1101,kJ/h,2,0,0,0,0,Power,Power,19,仕事率,,,Energie,,,Puissance,,,功率,,,功率,,,일율,,,Energía,Energía,,Энергия,,,Força,,,Güç,,,Moc,,,Potenza,,,Energía,Energía,,Vermogen,,,พลังงาน,,,,,,W_kJh,1/3.6,3.6,,
,1102,kcal/h,2,0,0,0,1,Power,Power,19,仕事率,,,Energie,,,Puissance,,,功率,,,功率,,,일율,,,Energía,Energía,,Энергия,,,Força,,,Güç,,,Moc,,,Potenza,,,Energía,Energía,,Vermogen,,,พลังงาน,,,,,,W_kcalh,1/0.86,0.86,,
,1103,BTU/h,1,0,0,1,0,Power,Power,19,仕事率,,,Energie,,,Puissance,,,功率,,,功率,,,일율,,,Energía,Energía,,Энергия,,,Força,,,Güç,,,Moc,,,Potenza,,,Energía,Energía,,Vermogen,,,พลังงาน,,,,,,W_BTUh,1/3.413,3.413,,2005.4.13 米村
,1200,m/s,2,0,0,0,0,Velocity,Velocity,19,速度,,,Geschwindigkeit,,,Vitesse,,,流速,,,流速,,,속도,,,Velocidad,Vel.,,Скорость,,,Velocidade,,,Hız,,,Prędkość,,,Velocità,,,Velocidad,Vel.,,Snelheid,,,ความเร็ว,,,,,,,1,1,UnitVelo,
,1201,km/h,2,0,0,0,0,Velocity,Velocity,19,速度,,,Geschwindigkeit,,,Vitesse,,,流速,,,流速,,,속도,,,Velocidad,Vel.,,Скорость,,,Velocidade,,,Hız,,,Prędkość,,,Velocità,,,Velocidad,Vel.,,Snelheid,,,ความเร็ว,,,,,,ms_kmh,0.2778,1/0.2778,,
,1202,ft/s,2,0,0,1,0,Velocity,Velocity,19,速度,,,Geschwindigkeit,,,Vitesse,,,流速,,,流速,,,속도,,,Velocidad,Vel.,,Скорость,,,Velocidade,,,Hız,,,Prędkość,,,Velocità,,,Velocidad,Vel.,,Snelheid,,,ความเร็ว,,,,,,ms_fts,0.3048,1/0.3048,,
,1203,mile/h,2,0,0,0,0,Velocity,Velocity,19,速度,,,Geschwindigkeit,,,Vitesse,,,流速,,,流速,,,속도,,,Velocidad,Vel.,,Скорость,,,Velocidade,,,Hız,,,Prędkość,,,Velocità,,,Velocidad,Vel.,,Snelheid,,,ความเร็ว,,,,,,ms_mileh,0.447,1/0.447,,
,1300,mPa s,5,0,0,0,0,Viscosity,Viscosity,19,粘度,,,Viskosität,,,Viscosité,,,粘度,,,粘度,,,점도,,,Viscosidad,Visc.,,Вязкость,,,Viscosidade,,,Viskozite,,,Lepkość,,,Viscosità,,,Viscosidad,Visc.,,Viscositeit,,,ความหนืด,,,,,,,1,1,UnitVisco,
,1301,Pa s,5,0,0,0,0,Viscosity,Viscosity,19,粘度,,,Viskosität,,,Viscosité,,,粘度,,,粘度,,,점도,,,Viscosidad,Visc.,,Вязкость,,,Viscosidade,,,Viskozite,,,Lepkość,,,Viscosità,,,Viscosidad,Visc.,,Viscositeit,,,ความหนืด,,,,,,mPas_Pas,1000,1/1000.0,,
,1302,cP,5,0,0,1,1,Viscosity,Viscosity,19,粘度,,,Viskosität,,,Viscosité,,,粘度,,,粘度,,,점도,,,Viscosidad,Visc.,,Вязкость,,,Viscosidade,,,Viskozite,,,Lepkość,,,Viscosità,,,Viscosidad,Visc.,,Viscositeit,,,ความหนืด,,,,,,mPas_cP,1,1,,
,1303,kgf s/m²,2,0,0,0,0,Viscosity,Viscosity,19,粘度,,,Viskosität,,,Viscosité,,,粘度,,,粘度,,,점도,,,Viscosidad,Visc.,,Вязкость,,,Viscosidade,,,Viskozite,,,Lepkość,,,Viscosità,,,Viscosidad,Visc.,,Viscositeit,,,ความหนืด,,,,,,mPas_kgfsm2,9806.65,1/9806.65,,
,1304,lbf s/in²,2,0,0,0,0,Viscosity,Viscosity,19,粘度,,,Viskosität,,,Viscosité,,,粘度,,,粘度,,,점도,,,Viscosidad,Visc.,,Вязкость,,,Viscosidade,,,Viskozite,,,Lepkość,,,Viscosità,,,Viscosidad,Visc.,,Viscositeit,,,ความหนืด,,,,,,mPas_lbfsin2,6900000,1/6900000.0,,
,1400,m³/min,2,0,1,0,1,Flow Rate (Volume),Flow Rate (Volume),19,（体積）流量,,,Durchsatz (Volumen),,,Débit (volume),,,体积流量,,,體積流量,,,(체적)유량,,,Rango de Flujo (Volumen),Rango Flujo (Vol.),,Расход,,,Vazão (volume),,,Debi (Hacim),,,Przepływ (objętościowy),,,Portata (volume),,,Flujo (volumen),Flujo (vol.),,Debiet (volume),,,อัตราการไหล (ความจุ),,,,,,,1,1,UnitVolRate,
